variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
early_crossattn,random,42,1,11.323807775829952,9.992298870961926e-05,102.98,1.7347270339482492,1.317090366659877,0.5857829824416394,0.26875140421789484,0.2544254289343863
early_crossattn,random,42,2,2.2139495243171803,9.810842832845744e-05,96.04,2.0080137773568523,1.4170440280234247,0.5964440482235001,0.3027486871193575,0.28470786335727377
early_crossattn,random,42,3,2.1170115423260243,9.396566299624662e-05,95.99,1.9446345036134398,1.3945015251384416,0.6000277485860029,0.33167477934717554,0.29416311402261436
early_crossattn,random,42,4,2.0319926069088767,8.769518163130347e-05,96.33,1.6157080486429538,1.2711050501996104,0.6177942235709478,0.3719236604557436,0.3467526939632674
early_crossattn,random,42,5,1.9657651380822965,7.96004438615262e-05,95.98,1.588197561887918,1.260237105424181,0.6312921394750204,0.400237705367389,0.3853436493143348
early_crossattn,random,42,6,1.868149841235856,7.007319411108031e-05,95.98,1.800145348919316,1.3416949537504104,0.6409406770654985,0.4314594974694978,0.4123226911144764
early_crossattn,random,42,7,1.7583896067471538,5.9574503148842844e-05,95.96,1.4361699296376726,1.1984030747781285,0.6592178441119863,0.4715797977382767,0.4625062541955883
early_crossattn,random,42,8,1.7128489127170665,4.861245459190748e-05,95.84,1.3816208269330335,1.1754236797568074,0.6698523420987378,0.48787486027959165,0.48971494095136947
early_crossattn,random,42,9,1.6289334847765453,3.7717556224682536e-05,95.97,1.3945132968480283,1.1808951252537323,0.6794920237575128,0.5177114035125902,0.5131939041060817
early_crossattn,random,42,10,1.5154863656577418,2.741706610154816e-05,95.99,1.4460630272871886,1.202523607787884,0.6840705404479921,0.532021952156462,0.524521943214789
early_crossattn,random,42,11,1.4653767511861953,1.8209475920033503e-05,95.98,1.3925143005118308,1.1800484314263677,0.6827214868518934,0.53112585108854,0.5249664898223705
early_crossattn,random,42,12,1.4528090237993883,1.0540386540376041e-05,95.99,1.3493860425129705,1.1616307685805203,0.6905870301928232,0.5507280587130731,0.542576692425589
early_crossattn,random,42,13,1.3838836383300024,4.78094315447124e-06,95.97,1.3118046749377128,1.1453404188003289,0.6934666839849332,0.5548726380683023,0.5485161206665999
early_crossattn,random,42,14,1.3819620251366935,1.209873733118716e-06,95.81,1.305153252300085,1.1424330406199241,0.695094699429678,0.5600452965748597,0.5519120430031619
early_crossattn,random,42,15,1.3891971950525233,0.0,95.97,1.2882366485348649,1.1350051315015561,0.6951655468833025,0.5599792307058883,0.5521810513529383
