variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
early_concat,cold_drug,42,1,21.857609122433466,6.675e-05,113.54,1.669565533392865,1.2921166872201848,0.5336716443499082,0.14221427701244013,0.10139112886163158
early_concat,cold_drug,42,2,2.2800143182500916,9.992351623039373e-05,108.33,1.8417127877266561,1.3570971917024426,0.5279989233907525,0.08546093005448928,0.08258595179999481
early_concat,cold_drug,42,3,2.0914852971887767,9.931645491729483e-05,108.26,1.7634841764949964,1.327962415317164,0.5465401033312411,0.14783331447016265,0.13829278249238192
early_concat,cold_drug,42,4,2.037463001320871,9.811083722935105e-05,108.23,1.7063206834595868,1.3062621036605122,0.5501778366692238,0.14696058789164765,0.14893399579089925
early_concat,cold_drug,42,5,1.9447556899281477,9.63212958110612e-05,108.19,1.7055107795223623,1.3059520586615583,0.5675129164051421,0.19370403854277962,0.20003128059030653
early_concat,cold_drug,42,6,1.8951390979441811,9.396955041956841e-05,108.22,1.8546019954836286,1.3618377272948596,0.5791022662552014,0.22413268910117257,0.23403075681592903
early_concat,cold_drug,42,7,1.8316827836108118,9.108414431083972e-05,108.17,1.7089598210130375,1.3072719001848994,0.5731963526047842,0.21369371085403435,0.21857842719899048
early_concat,cold_drug,42,8,1.806519400091207,8.770009780868576e-05,108.17,2.085617036274145,1.4441665542014692,0.5635315689146152,0.18477129694899155,0.19002978134007495
early_concat,cold_drug,42,9,1.7648436206110407,8.385848326127171e-05,108.21,1.6955245521687015,1.3021230940923756,0.5911872413813144,0.2728321420175174,0.26970329150496897
early_concat,cold_drug,42,10,1.7083747904845392,7.960592654389431e-05,108.18,1.6728427548220126,1.2933842255192431,0.5846936240323592,0.24628541843908688,0.2523171008057982
early_concat,cold_drug,42,11,1.707877677924624,7.499404115831166e-05,108.2,1.8392052866213862,1.3561730297500338,0.5841585884650254,0.24956789490764283,0.2518499959891306
early_concat,cold_drug,42,12,1.6745494150936826,7.007880179699145e-05,108.21,1.6146687152400239,1.2706961537834385,0.5915037950112746,0.27197157485161544,0.27176701371290707
early_concat,cold_drug,42,13,1.6333377173777377,6.491986497536127e-05,108.22,1.8047348791623194,1.3434042128720303,0.5966338526047842,0.29039896591232167,0.2873743529601802
early_concat,cold_drug,42,14,1.6019591052880449,5.957984497758219e-05,108.23,1.607138682204355,1.2677297354737542,0.6061818583350769,0.320793789810045,0.31397211258210167
early_concat,cold_drug,42,15,1.5672540695926223,5.4123553903729764e-05,108.21,1.5285619098604475,1.2363502375380722,0.6026055106120836,0.31928585100074464,0.30415450811625694
early_concat,cold_drug,42,16,1.5342648135365617,4.861721504196895e-05,108.21,1.6729865501571608,1.2934398131173948,0.6011831078410861,0.31008692783685,0.3001256239909432
early_concat,cold_drug,42,17,1.516599729936221,4.312765911306609e-05,108.21,1.595793662042759,1.2632472687652085,0.620088061115373,0.35900312839949566,0.35166887720275875
early_concat,cold_drug,42,18,1.4946020406283689,3.77215131424597e-05,108.21,1.6200080462592983,1.2727953670010346,0.6079119156380036,0.3292907939138341,0.3193580884386002
early_concat,cold_drug,42,19,1.479731942383984,3.246439180459211e-05,108.18,1.6140501213238192,1.2704527229786313,0.6107970395425064,0.33988254445846644,0.32810041546579927
early_concat,cold_drug,42,20,1.4532523264599204,2.7420101054197733e-05,108.18,1.718611935120187,1.3109584032760868,0.6081745298370411,0.32945663626936433,0.319443624595402
early_concat,cold_drug,42,21,1.4608236660671592,2.2649863710116285e-05,108.18,1.6602349458208403,1.2885010461077788,0.6109623085059395,0.3373873053469514,0.3268184910806782
early_concat,cold_drug,42,22,1.4287855060359511,1.8211576390760647e-05,108.2,1.6242331565842394,1.2744540621710299,0.6167623410512123,0.35643568569680417,0.3445002886752906
early_concat,cold_drug,42,23,1.4192686411325404,1.4159106819852064e-05,108.19,1.5531336594945022,1.2462478322927997,0.6130919171490341,0.34733233003429326,0.3342959157887819
early_concat,cold_drug,42,24,1.4247696554281293,1.0541640031059235e-05,108.2,1.5632649265042877,1.2503059331636748,0.6237570321035869,0.37196664443324995,0.3644326732873563
early_concat,cold_drug,42,25,1.404411007179303,7.403081406690277e-06,108.17,1.5859017346097524,1.2593259048434413,0.6250421345049632,0.37268535491802723,0.36777378041319964
early_concat,cold_drug,42,26,1.418621171949508,4.781523795786935e-06,108.19,1.6378900251105495,1.2798007755547538,0.6199721912267243,0.36262313681055175,0.3537350996055347
early_concat,cold_drug,42,27,1.3894952843698223,2.708785179237372e-06,108.18,1.5729681730220868,1.254180279314775,0.6218468134690937,0.368224333923488,0.35910462956837375
early_concat,cold_drug,42,28,1.3833733879671561,1.2100224932893977e-06,108.18,1.586298733313772,1.2594835184764317,0.6214610648115861,0.36639199828184765,0.3577744987619403
early_concat,cold_drug,42,29,1.393969205881326,3.034262985086189e-07,108.19,1.5774271612180477,1.255956671712065,0.6214207464490783,0.3671612840247765,0.35789790094831947
early_concat,cold_drug,42,30,1.37603584054704,0.0,108.18,1.5815226187125768,1.2575860283545524,0.6214999302601297,0.3674381534921877,0.35804876414222775
