variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
early_crossattn,random,42,1,17.51343674245088,9.992335366001951e-05,81.73,1.7757812439034355,1.3325844228053378,0.5710290002243503,0.23035395629503808,0.2105377447138971
early_crossattn,random,42,2,2.205168212093593,9.811009413687273e-05,76.64,1.978720818933454,1.4066701173101865,0.588441237941173,0.2666932773768653,0.2612333349253124
early_crossattn,random,42,3,2.042685903788765,9.396835110163948e-05,76.62,1.831378587002701,1.3532843703385853,0.5932042532087992,0.2913873003196177,0.2746788099720825
early_crossattn,random,42,4,2.0125408915505894,8.769858103942666e-05,76.61,1.7395907730992324,1.3189354696493807,0.6034682780526397,0.32143145112282245,0.3043492226516324
early_crossattn,random,42,5,1.9371943070692716,7.960423495103467e-05,76.61,1.7034595221684212,1.30516647297133,0.6094342240432642,0.34081464263482775,0.3214947244493757
early_crossattn,random,42,6,1.8744379270479874,7.007707160863138e-05,76.6,1.601432280047947,1.2654770958211559,0.6078696761090578,0.3363817080070004,0.3157266451800974
early_crossattn,random,42,7,1.8417375274902381,5.957819679797203e-05,76.6,1.864114555280681,1.365325805542648,0.6145204808180519,0.35762360878846944,0.33569371799561987
early_crossattn,random,42,8,1.8399179546153488,4.8615746230089157e-05,76.62,1.6588734082140317,1.287972596064851,0.622161673889171,0.38277060274269686,0.35893218911207425
early_crossattn,random,42,9,1.8048562108030641,3.772029224863178e-05,76.61,1.6293401335360684,1.276456083669183,0.6237513136298692,0.38677615259029435,0.3636682170401942
early_crossattn,random,42,10,1.7859850574806693,2.7419164625193038e-05,76.6,1.6607739864804414,1.2887102026756991,0.6271800351875686,0.39260205914793583,0.3726579455593981
early_crossattn,random,42,11,1.7320903122137135,1.8210928292089143e-05,76.61,1.810912382626215,1.3457014463194334,0.6292744630353411,0.4020643181070165,0.3784830006487709
early_crossattn,random,42,12,1.6784216465005553,1.054125326642767e-05,76.61,1.6284584133767286,1.2761106587505366,0.6338131280331566,0.4135736214425327,0.39188382027535945
early_crossattn,random,42,13,1.715096712688317,4.781344638548007e-06,76.63,1.6346448261996531,1.2785322937648673,0.6338367438510314,0.41411831331995735,0.3918552676112827
early_crossattn,random,42,14,1.67472528576275,1.2099765931978702e-06,77.0,1.6201943818696145,1.2728685642554043,0.6338190319876253,0.4142918699509692,0.3914846534867223
early_crossattn,random,42,15,1.6633594142641999,0.0,76.59,1.6322459867678762,1.2775938269919263,0.6335371181617447,0.41377359070202446,0.3906473860384387
