variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
early_crossattn,cold_target,123,1,13.30149320898791,0.00020026385224274404,113.82,1.7670030962086853,1.329286686989938,0.6315635046890122,0.3958731379569861,0.39396781979001505
early_crossattn,cold_target,123,2,2.1748504030845854,0.000299770455621218,106.97,1.9880235853647155,1.4099729023512173,0.63625514357512,0.36573365723055606,0.3958021673600073
early_crossattn,cold_target,123,3,2.1180971573464014,0.00029794909729053684,106.94,1.577923254373733,1.2561541523132154,0.636727629388185,0.4139052994411054,0.40661329699494136
early_crossattn,cold_target,123,4,1.9031428622280655,0.00029433208612536987,106.93,1.6215885241381016,1.273416084450837,0.6441362934615874,0.4229157073029941,0.4230427171525709
early_crossattn,cold_target,123,5,1.8490374092999182,0.0002889633216592055,106.93,1.6813395451962805,1.2966647774950473,0.6380310598391385,0.4205292671498513,0.40262564054926625
early_crossattn,cold_target,123,6,1.7786154699890981,0.00028190796439189064,106.95,2.74540638366648,1.656926788867414,0.6550393130445639,0.46636432729896454,0.4511293198361396
early_crossattn,cold_target,123,7,1.7262279817709338,0.0002732516449390045,106.96,1.500980648666073,1.2251451541209608,0.6487217852732754,0.44999484803113826,0.43073018303714483
early_crossattn,cold_target,123,8,1.616488137499617,0.000263099424736179,106.92,1.439679054870671,1.199866265410721,0.6634408462594822,0.48335543114094853,0.4702002969677662
early_crossattn,cold_target,123,9,1.555240500585835,0.0002515745209122602,106.93,1.4298717778807266,1.1957724607469127,0.6618586831706054,0.4849483277968788,0.4696684047274642
early_crossattn,cold_target,123,10,1.5223979092398179,0.0002388168108074795,106.93,1.425450498422349,1.1939223167452517,0.6539766062354531,0.4707214458747896,0.44756737323775403
early_crossattn,cold_target,123,11,1.4718295257803597,0.00022498113428724126,106.93,1.5231430942040565,1.2341568353349814,0.6668990468703454,0.4821221370385526,0.4793588231313166
early_crossattn,cold_target,123,12,1.4174580704494428,0.00021023541445628613,106.92,1.5253413257288233,1.2350470945388372,0.6535096827144974,0.4544343838898004,0.44162562168493424
early_crossattn,cold_target,123,13,1.3805429289934663,0.00019475861958205144,106.93,1.6878578998115668,1.2991758540750236,0.6464579323847771,0.43982347357006274,0.423772095821193
early_crossattn,cold_target,123,14,1.322533673919708,0.000178738590963292,106.93,1.5278584096771692,1.236065697961548,0.6458315564900207,0.4379687718823875,0.4233710012286304
early_crossattn,cold_target,123,15,1.2975208686274502,0.00016236976310704198,106.92,1.5475354340931486,1.243999772545457,0.6660257670091803,0.4873188126105435,0.4773710892559518
early_crossattn,cold_target,123,16,1.2516592896502952,0.00014585080388404583,106.93,1.3546622669746953,1.1638995948855275,0.6745756280136808,0.5092340912398781,0.49995975289345157
early_crossattn,cold_target,123,17,1.2052056485485183,0.00012938220330400795,106.93,1.3663994223483056,1.1689308886107448,0.6780520605820135,0.5157449007337116,0.507970605096579
early_crossattn,cold_target,123,18,1.183230442020733,0.00011316384017560732,106.92,1.4154424503882623,1.189723686571072,0.6746915090992919,0.5076610381352034,0.49998548413030575
early_crossattn,cold_target,123,19,1.151678140926738,9.739255618463697e-05,106.94,1.3391364623435635,1.1572106387099816,0.6819632789835591,0.5287591065803824,0.5182868762207608
early_crossattn,cold_target,123,20,1.1122565926770447,8.225976683359409e-05,106.93,1.3669286868543566,1.169157254972297,0.6820488764787972,0.5229460098302358,0.5162935988153313
early_crossattn,cold_target,123,21,1.0791163572032931,6.794913823865992e-05,106.92,1.2932484333005565,1.1372108130424001,0.6947305934718467,0.556530900223434,0.5513811093663609
early_crossattn,cold_target,123,22,1.0472792839344311,5.463435798070096e-05,106.91,1.3105742434998964,1.1448031461783708,0.6922600087266183,0.549077657122854,0.5422978641379487
early_crossattn,cold_target,123,23,1.0319736612587522,4.247702706539146e-05,106.95,1.2807160701135158,1.1316872669220572,0.7020833256079276,0.5717341591466133,0.5689445027839451
early_crossattn,cold_target,123,24,1.0218687798798438,3.162469857766169e-05,106.94,1.3223985436622596,1.1499558877027674,0.7019399420779981,0.573099277898095,0.5695304686393852
early_crossattn,cold_target,123,25,0.9855053152064444,2.2209086835250935e-05,106.96,1.3099298596041828,1.1445216728416212,0.6951452932502203,0.5565928078006029,0.5502187357286176
early_crossattn,cold_target,123,26,0.9636492474748212,1.4344468776804286e-05,106.94,1.2916183293928356,1.1364938756512661,0.6985336561934886,0.5642894778433594,0.5588700956370688
early_crossattn,cold_target,123,27,0.9764845524380801,8.126296986808106e-06,106.91,1.2789138073918251,1.1308907141681839,0.700610863280096,0.5694101530060302,0.5649649903819776
early_crossattn,cold_target,123,28,0.9587683854366951,3.630041191029637e-06,106.92,1.290327863972219,1.1359259940560473,0.7016232004439945,0.5699278068623193,0.5668934013757706
early_crossattn,cold_target,123,29,0.9453581878436884,9.102722831892284e-07,106.91,1.2835003179986275,1.1329167303904677,0.700916480329881,0.569205850372592,0.5652031786237676
early_crossattn,cold_target,123,30,0.9625628628278439,0.0,106.95,1.2833083693735747,1.1328320128657976,0.701177290026563,0.5695720640498518,0.5657747273833503
