variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
early_crossattn,random,42,1,25.962607163649338,9.992407582166581e-05,34.22,2.1269289153109163,1.4583994361322676,0.5041667158662873,0.046611754747236535,0.013119349096257735
early_crossattn,random,42,2,2.218966611302816,9.811340001546251e-05,29.61,1.7454726877678215,1.321163384206443,0.5790140986432712,0.24716612055828865,0.2341817551863717
early_crossattn,random,42,3,2.1578481117120156,9.397368756032445e-05,29.59,1.6793015316721247,1.2958786716634103,0.586643483805453,0.2656272117581796,0.2569173953739857
early_crossattn,random,42,4,2.092567034638845,8.770533048884482e-05,29.56,2.0867370764495,1.4445542829708753,0.5919614707931372,0.2807262910806113,0.27118351092640364
early_crossattn,random,42,5,2.0887144528902493,7.961176263324901e-05,29.58,1.6508058418311289,1.2848368930845382,0.5990875438368619,0.31373682172680734,0.29405421718145874
early_crossattn,random,42,6,1.9377417850952883,7.008477123264848e-05,29.55,1.7054750383714876,1.3059383746454072,0.604579697481373,0.33047339512818497,0.31025291347190803
early_crossattn,random,42,7,1.888081930577755,5.958553159618693e-05,29.58,1.5968072415983476,1.2636483852711353,0.6108467451499014,0.3465709742365452,0.3277205512347704
early_crossattn,random,42,8,1.8969875688736255,4.8622282881591906e-05,29.55,1.6895630747726795,1.2998319409726318,0.6144186376034668,0.35942880093622365,0.33660500583493197
early_crossattn,random,42,9,1.8493485542444081,3.772572564296005e-05,29.56,1.6252780753499494,1.2748639438583043,0.61744293828006,0.36542717821141474,0.3462588990643231
early_crossattn,random,42,10,1.8361320025645769,2.7423332084455544e-05,29.56,1.6274972120215472,1.2757339895219328,0.6191698449621557,0.3689162383143669,0.3508748794881837
early_crossattn,random,42,11,1.8154803755191655,1.821381258950161e-05,29.56,1.595330248256583,1.263063833801199,0.6216554097934797,0.37555768226819447,0.35833524884207296
early_crossattn,random,42,12,1.7822407082869456,1.0542974530180327e-05,29.57,1.681157169356119,1.2965944506113385,0.6223756922386614,0.3772943882270613,0.3598996259994109
early_crossattn,random,42,13,1.7981569308501024,4.782141965121128e-06,29.58,1.6133026571599673,1.270158516548217,0.6233365608284429,0.38046635557323705,0.3626003424569083
early_crossattn,random,42,14,1.7472566904929967,1.210180868628219e-06,29.55,1.66176863335643,1.2890960528046116,0.6236347105291123,0.3808889458127543,0.3635527722518613
early_crossattn,random,42,15,1.7797767027066305,0.0,29.55,1.6561755579792585,1.2869248455054625,0.6237173658916743,0.3810209999720385,0.363703835284218
