variant,kind,module,head,baseline_mse,ablated_mse,delta
early_concat,layer,encoder.layers.0.self_attn,,1.436414748430252,1.4030632078647614,-0.03335154056549072
early_concat,layer,encoder.layers.1.self_attn,,1.436414748430252,1.4219556152820587,-0.01445913314819336
early_concat,layer,encoder.layers.2.self_attn,,1.436414748430252,1.4672626554965973,0.030847907066345215
early_concat,layer,encoder.layers.3.self_attn,,1.436414748430252,1.4712123274803162,0.03479757905006409
early_concat,layer,encoder.layers.4.self_attn,,1.436414748430252,1.5461354404687881,0.10972069203853607
early_concat,layer,encoder.layers.5.self_attn,,1.436414748430252,1.4718151539564133,0.035400405526161194
early_concat,head,encoder.layers.0.self_attn,0,1.436414748430252,1.4831918776035309,0.04677712917327881
early_concat,head,encoder.layers.0.self_attn,1,1.436414748430252,1.456130638718605,0.019715890288352966
early_concat,head,encoder.layers.0.self_attn,2,1.436414748430252,1.4664768874645233,0.03006213903427124
early_concat,head,encoder.layers.0.self_attn,3,1.436414748430252,1.474612832069397,0.0381980836391449
early_concat,head,encoder.layers.1.self_attn,0,1.436414748430252,1.37241792678833,-0.063996821641922
early_concat,head,encoder.layers.1.self_attn,1,1.436414748430252,1.3208029866218567,-0.11561176180839539
early_concat,head,encoder.layers.1.self_attn,2,1.436414748430252,1.286130577325821,-0.15028417110443115
early_concat,head,encoder.layers.1.self_attn,3,1.436414748430252,1.2689033895730972,-0.16751135885715485
early_concat,head,encoder.layers.2.self_attn,0,1.436414748430252,1.4282602369785309,-0.008154511451721191
early_concat,head,encoder.layers.2.self_attn,1,1.436414748430252,1.3953895568847656,-0.04102519154548645
early_concat,head,encoder.layers.2.self_attn,2,1.436414748430252,1.4449537992477417,0.008539050817489624
early_concat,head,encoder.layers.2.self_attn,3,1.436414748430252,1.4455618858337402,0.00914713740348816
early_concat,head,encoder.layers.3.self_attn,0,1.436414748430252,1.4391705393791199,0.002755790948867798
early_concat,head,encoder.layers.3.self_attn,1,1.436414748430252,1.4305558651685715,-0.005858883261680603
early_concat,head,encoder.layers.3.self_attn,2,1.436414748430252,1.443046659231186,0.006631910800933838
early_concat,head,encoder.layers.3.self_attn,3,1.436414748430252,1.437160700559616,0.0007459521293640137
early_concat,head,encoder.layers.4.self_attn,0,1.436414748430252,1.4711826592683792,0.034767910838127136
early_concat,head,encoder.layers.4.self_attn,1,1.436414748430252,1.4620943367481232,0.025679588317871094
early_concat,head,encoder.layers.4.self_attn,2,1.436414748430252,1.4395816177129745,0.003166869282722473
early_concat,head,encoder.layers.4.self_attn,3,1.436414748430252,1.4498129189014435,0.013398170471191406
early_concat,head,encoder.layers.5.self_attn,0,1.436414748430252,1.437991201877594,0.001576453447341919
early_concat,head,encoder.layers.5.self_attn,1,1.436414748430252,1.4303738474845886,-0.006040900945663452
early_concat,head,encoder.layers.5.self_attn,2,1.436414748430252,1.4393021613359451,0.002887412905693054
early_concat,head,encoder.layers.5.self_attn,3,1.436414748430252,1.437653809785843,0.0012390613555908203
early_crossattn,layer,cross_attn.drug_attends_protein,,1.7361383438110352,1.6894494593143463,-0.04668888449668884
early_crossattn,layer,cross_attn.protein_attends_drug,,1.7361383438110352,1.654529333114624,-0.08160901069641113
early_crossattn,layer,encoder.layers.0.self_attn,,1.7361383438110352,1.7714030742645264,0.03526473045349121
early_crossattn,layer,encoder.layers.1.self_attn,,1.7361383438110352,1.5761638879776,-0.15997445583343506
early_crossattn,layer,encoder.layers.2.self_attn,,1.7361383438110352,1.6243335008621216,-0.11180484294891357
early_crossattn,layer,encoder.layers.3.self_attn,,1.7361383438110352,1.5969127416610718,-0.13922560214996338
early_crossattn,layer,encoder.layers.4.self_attn,,1.7361383438110352,1.5928413569927216,-0.1432969868183136
early_crossattn,layer,encoder.layers.5.self_attn,,1.7361383438110352,1.6801388561725616,-0.05599948763847351
early_crossattn,head,cross_attn.drug_attends_protein,0,1.7361383438110352,1.6893616914749146,-0.046776652336120605
early_crossattn,head,cross_attn.drug_attends_protein,1,1.7361383438110352,1.7279787063598633,-0.008159637451171875
early_crossattn,head,cross_attn.drug_attends_protein,2,1.7361383438110352,1.7403388619422913,0.0042005181312561035
early_crossattn,head,cross_attn.drug_attends_protein,3,1.7361383438110352,1.6753412783145905,-0.0607970654964447
early_crossattn,head,cross_attn.protein_attends_drug,0,1.7361383438110352,1.7177875339984894,-0.018350809812545776
early_crossattn,head,cross_attn.protein_attends_drug,1,1.7361383438110352,1.559567630290985,-0.17657071352005005
early_crossattn,head,cross_attn.protein_attends_drug,2,1.7361383438110352,1.6246504187583923,-0.11148792505264282
early_crossattn,head,cross_attn.protein_attends_drug,3,1.7361383438110352,1.7068529725074768,-0.02928537130355835
early_crossattn,head,encoder.layers.0.self_attn,0,1.7361383438110352,1.8170465230941772,0.08090817928314209
early_crossattn,head,encoder.layers.0.self_attn,1,1.7361383438110352,1.7544317543506622,0.018293410539627075
early_crossattn,head,encoder.layers.0.self_attn,2,1.7361383438110352,1.5481076538562775,-0.1880306899547577
early_crossattn,head,encoder.layers.0.self_attn,3,1.7361383438110352,1.7747098207473755,0.03857147693634033
early_crossattn,head,encoder.layers.1.self_attn,0,1.7361383438110352,1.563844233751297,-0.17229411005973816
early_crossattn,head,encoder.layers.1.self_attn,1,1.7361383438110352,1.584738701581955,-0.1513996422290802
early_crossattn,head,encoder.layers.1.self_attn,2,1.7361383438110352,1.6053182184696198,-0.1308201253414154
early_crossattn,head,encoder.layers.1.self_attn,3,1.7361383438110352,1.6764635741710663,-0.05967476963996887
early_crossattn,head,encoder.layers.2.self_attn,0,1.7361383438110352,1.6665907204151154,-0.0695476233959198
early_crossattn,head,encoder.layers.2.self_attn,1,1.7361383438110352,1.7257987558841705,-0.010339587926864624
early_crossattn,head,encoder.layers.2.self_attn,2,1.7361383438110352,1.7100036442279816,-0.02613469958305359
early_crossattn,head,encoder.layers.2.self_attn,3,1.7361383438110352,1.6821279227733612,-0.05401042103767395
early_crossattn,head,encoder.layers.3.self_attn,0,1.7361383438110352,1.6653483510017395,-0.07078999280929565
early_crossattn,head,encoder.layers.3.self_attn,1,1.7361383438110352,1.6765424311161041,-0.05959591269493103
early_crossattn,head,encoder.layers.3.self_attn,2,1.7361383438110352,1.7107499837875366,-0.025388360023498535
early_crossattn,head,encoder.layers.3.self_attn,3,1.7361383438110352,1.7009486556053162,-0.035189688205718994
early_crossattn,head,encoder.layers.4.self_attn,0,1.7361383438110352,1.6960748136043549,-0.0400635302066803
early_crossattn,head,encoder.layers.4.self_attn,1,1.7361383438110352,1.7002287209033966,-0.03590962290763855
early_crossattn,head,encoder.layers.4.self_attn,2,1.7361383438110352,1.6918380856513977,-0.04430025815963745
early_crossattn,head,encoder.layers.4.self_attn,3,1.7361383438110352,1.702786922454834,-0.03335142135620117
early_crossattn,head,encoder.layers.5.self_attn,0,1.7361383438110352,1.7315438389778137,-0.0045945048332214355
early_crossattn,head,encoder.layers.5.self_attn,1,1.7361383438110352,1.704283207654953,-0.03185513615608215
early_crossattn,head,encoder.layers.5.self_attn,2,1.7361383438110352,1.7350661158561707,-0.001072227954864502
early_crossattn,head,encoder.layers.5.self_attn,3,1.7361383438110352,1.722340166568756,-0.013798177242279053
late_concat,layer,drug_encoder.layers.0.self_attn,,1.6470689177513123,1.5529826879501343,-0.09408622980117798
late_concat,layer,prot_encoder.layers.0.self_attn,,1.6470689177513123,1.6466207802295685,-0.0004481375217437744
late_concat,head,drug_encoder.layers.0.self_attn,0,1.6470689177513123,1.644078403711319,-0.002990514039993286
late_concat,head,drug_encoder.layers.0.self_attn,1,1.6470689177513123,1.435715526342392,-0.2113533914089203
late_concat,head,drug_encoder.layers.0.self_attn,2,1.6470689177513123,1.5299727320671082,-0.1170961856842041
late_concat,head,drug_encoder.layers.0.self_attn,3,1.6470689177513123,1.4159391224384308,-0.23112979531288147
late_concat,head,prot_encoder.layers.0.self_attn,0,1.6470689177513123,1.55264151096344,-0.09442740678787231
late_concat,head,prot_encoder.layers.0.self_attn,1,1.6470689177513123,1.6175424456596375,-0.029526472091674805
late_concat,head,prot_encoder.layers.0.self_attn,2,1.6470689177513123,1.5390510559082031,-0.10801786184310913
late_concat,head,prot_encoder.layers.0.self_attn,3,1.6470689177513123,1.4937828481197357,-0.15328606963157654
