variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
early_crossattn,cold_drug,42,1,13.208756517381703,0.00020025,118.14,1.8652305277494332,1.3657344279725225,0.5195337017923146,0.06034839974149538,0.05823756895670667
early_crossattn,cold_drug,42,2,2.1218670995047924,0.0002997705486911812,112.3,1.9417859113817333,1.3934797850639,0.5291334675825836,0.07540672235177855,0.08834258353488368
early_crossattn,cold_drug,42,3,2.045010116662872,0.00029794936475188445,112.26,1.7900297632134818,1.3379199390148433,0.51448228316712,0.04519066684654394,0.04400741943115441
early_crossattn,cold_drug,42,4,1.9243193123670999,0.00029433251168805316,112.24,2.0395378735477436,1.4281238999287644,0.5315507531905991,0.10191278521987254,0.09337766675334709
early_crossattn,cold_drug,42,5,1.829049768965789,0.00028896388743318357,112.26,1.9437353708756746,1.3941791028686648,0.5530288170955668,0.1732986281057895,0.16031941385273052
early_crossattn,cold_drug,42,6,1.7440297898281827,0.0002819086512587052,112.32,1.8707540721329656,1.367755121406228,0.541963061115373,0.17209656933668396,0.13018380594866263
early_crossattn,cold_drug,42,7,1.6364128013675132,0.00027325243293251913,112.26,2.104587140887125,1.45071952523123,0.5328529273310552,0.12717932186681272,0.10028253747596189
early_crossattn,cold_drug,42,8,1.5740086608165211,0.0002631002934260572,112.23,2.2128538590751345,1.4875664217355589,0.5466683229885859,0.14995133109130962,0.14285217881365744
early_crossattn,cold_drug,42,9,1.5119225655155681,0.0002515754497838151,112.24,1.6807598023050534,1.2964412066519073,0.5599243467698817,0.20600890302901106,0.18111429595278145
early_crossattn,cold_drug,42,10,1.4362722708937827,0.00023881777963168292,112.25,1.8977593428307657,1.3775918636630973,0.5345789891205802,0.11175776764275813,0.1033513772607736
early_crossattn,cold_drug,42,11,1.4171932420034088,0.00022498212347493493,112.23,1.9423552610209451,1.3936840606898484,0.5545627310133203,0.1821498190696926,0.16720823150564604
early_crossattn,cold_drug,42,12,1.35407653160756,0.0002102364053909743,112.26,1.8595643037101177,1.363658426333412,0.5550745199572262,0.17964945220663264,0.16625800409717964
early_crossattn,cold_drug,42,13,1.3139135134354065,0.00019475959492608376,112.27,1.8487454354418784,1.359685785555574,0.5713678603807797,0.22716745781244552,0.21375069223465581
early_crossattn,cold_drug,42,14,1.2382759326852664,0.00017873953493274653,112.28,1.9113550753497235,1.3825176582415588,0.5754467347211567,0.24126372801690643,0.22561713566339636
early_crossattn,cold_drug,42,15,1.2074272801143846,0.00016237066171118927,112.26,1.7383353369872647,1.3184594559512495,0.5795535776553455,0.26144003028075435,0.2379933022256866
early_crossattn,cold_drug,42,16,1.1648700824391083,0.00014585164512590683,112.24,1.8927792998526414,1.375783158732742,0.5779462915823976,0.24639636481723412,0.231728905988872
early_crossattn,cold_drug,42,17,1.1142340445339902,0.00012938297733919825,112.27,1.6687604535679739,1.2918051143914757,0.5909556832182625,0.2853675118820064,0.26934146877075293
early_crossattn,cold_drug,42,18,1.0851539449298873,0.00011316453942737907,112.26,1.6630678472883413,1.28959987875633,0.5898503789199618,0.29342545125311886,0.2668656955327377
early_crossattn,cold_drug,42,19,1.0376689907316858,9.739317541377633e-05,112.23,1.7717942978177887,1.33108763716661,0.5798655909291676,0.2693337686229321,0.23971626524294584
early_crossattn,cold_drug,42,20,1.0126911879478768,8.226030316259319e-05,112.27,1.8218706292120208,1.34976687958033,0.5898776210567915,0.284060178006604,0.2665533518970927
early_crossattn,cold_drug,42,21,0.9789834332823307,6.794959113034885e-05,112.25,1.7728667836572776,1.3314904369379743,0.5956002859334681,0.3083679959735275,0.2831337077771327
early_crossattn,cold_drug,42,22,0.9540189297011729,5.463472917228194e-05,112.25,1.762475541756441,1.3275825931957834,0.6013894216240091,0.3250263007621963,0.2982086393984552
early_crossattn,cold_drug,42,23,0.9476991918649567,4.247732045955618e-05,112.24,1.730753510657104,1.3155810543851352,0.5997073104819025,0.3262478486994487,0.29493905144376453
early_crossattn,cold_drug,42,24,0.9159383416622319,3.16249200931777e-05,112.27,1.7544988533393044,1.3245749708262287,0.6011722109863542,0.3323458221573391,0.2995664938590095
early_crossattn,cold_drug,42,25,0.9133188298132535,2.2209244220070826e-05,112.26,1.7420445322196032,1.319865346245443,0.6044962965223052,0.34533673882311317,0.3089921077540059
early_crossattn,cold_drug,42,26,0.8840060171004984,1.4344571387360803e-05,112.26,1.688793357740457,1.299535823954252,0.6056500918241625,0.3396119218272644,0.3117560028573092
early_crossattn,cold_drug,42,27,0.8854345018497567,8.126355537712115e-06,112.27,1.7165670725603144,1.3101782598411233,0.6037122678243485,0.33728940958611814,0.3065533034426978
early_crossattn,cold_drug,42,28,0.8923834252000301,3.6300674798681927e-06,112.26,1.7046850502829272,1.3056358796704872,0.604339563428412,0.33822482867691567,0.3085168062760487
early_crossattn,cold_drug,42,29,0.8661145902751537,9.102788955258567e-07,112.26,1.7072575207970773,1.3066206491545576,0.6049886527419392,0.34039009165702744,0.3101832390143407
early_crossattn,cold_drug,42,30,0.8823537947086806,0.0,112.28,1.7023062554093842,1.3047245898692124,0.60510524908757,0.3405497101018951,0.31064808069332184
