variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
late_concat,random,42,1,36.218470925321945,4.996203791083291e-05,24.14,3.7969485613715097,1.948576034280292,0.47158279115351465,-0.02585281795389632,-0.08445766067071667
late_concat,random,42,2,2.3084496488937964,4.905670000773126e-05,18.8,1.8812118103242563,1.3715727506495077,0.5719559210759366,0.2093063879192027,0.21524273607150068
late_concat,random,42,3,2.1683060893645654,4.698684378016222e-05,18.82,1.7569529968594626,1.325501036159332,0.5820369233312472,0.256015716233412,0.24439321665227848
late_concat,random,42,4,2.0800517671383343,4.385266524442241e-05,18.75,1.909628035485294,1.3818929175175962,0.5877652351545065,0.27536517812247313,0.26093101379185585
late_concat,random,42,5,2.0258278984289904,3.9805881316624506e-05,18.8,1.7966721798780434,1.340400007414967,0.5912721841089161,0.2896598071284155,0.27136411776257335
late_concat,random,42,6,2.01563282425587,3.504238561632424e-05,18.78,1.8444596502788453,1.3581088506739234,0.5943702842163682,0.2968696507413319,0.2788642199245692
late_concat,random,42,7,1.9937471472300017,2.9792765798093465e-05,18.74,1.7214294231587113,1.312032554153559,0.5962595496463531,0.3050051027402322,0.2836691842625468
late_concat,random,42,8,1.942357721237036,2.4311141440795953e-05,18.7,1.6892070092066636,1.2996949677546126,0.5962462657487986,0.3082908501997749,0.28385238666378654
late_concat,random,42,9,1.9442719903129797,1.8862862821480025e-05,18.73,1.832739172568764,1.3537869745897115,0.5981576710080412,0.31368278008859396,0.2897292734932035
late_concat,random,42,10,1.9253974774709115,1.3711666042227772e-05,18.73,1.7381926620690413,1.318405348164608,0.5995805240349986,0.31834085278435675,0.29352083570468174
late_concat,random,42,11,1.8649342621748264,9.106906294750805e-06,18.75,1.786413976637917,1.3365679842933231,0.600297854502946,0.32062929419194847,0.29518609537578006
late_concat,random,42,12,1.900607400215589,5.271487265090163e-06,18.76,1.6959077048418556,1.3022702119152751,0.6006388078735136,0.3215074727958476,0.29660650674524214
late_concat,random,42,13,1.9085420553500836,2.391070982560564e-06,18.76,1.729786919855183,1.3152136403851593,0.6010122329936591,0.3221802364919516,0.297223980473012
late_concat,random,42,14,1.8881859412560096,6.050904343141095e-07,18.74,1.7535749549639223,1.3242261721337192,0.6010299448570653,0.3224274816122406,0.29741597784900997
late_concat,random,42,15,1.8867472673837955,0.0,18.72,1.7365329987679325,1.3177757771214087,0.601060940618026,0.3224656116847442,0.2973915026718502
