variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
early_crossattn,cold_target,42,1,24.34969648543526,9.992112426493247e-05,48.44,2.074861563217235,1.4404379761785076,0.5613882866448952,0.03432773562867683,0.1780010661219849
early_crossattn,cold_target,42,2,2.1914026094417944,9.809996790857411e-05,43.61,1.875337542353005,1.3694296412569011,0.6642982118010526,0.4802299854559111,0.47802723882901965
early_crossattn,cold_target,42,3,2.1412943402926126,9.3952019719557e-05,43.58,1.8887536964896443,1.3743193575329005,0.6607745470751003,0.470951433444331,0.4714675717119162
early_crossattn,cold_target,42,4,2.013729664624906,8.767793288723138e-05,43.58,1.8150446272597989,1.3472359211585025,0.6542366372287574,0.4482053238624845,0.45701055000344526
early_crossattn,cold_target,42,5,1.977580029590457,7.95812106078279e-05,43.59,1.8528291846853022,1.361186682525693,0.6476915625497061,0.45173805819345675,0.43774389706066297
early_crossattn,cold_target,42,6,1.9541690723568785,7.005352439569835e-05,43.56,1.805435010322718,1.343664768579841,0.6553722632130262,0.4689529585645661,0.45903271555339137
early_crossattn,cold_target,42,7,1.8851749499638875,5.955576733303052e-05,43.58,1.773141368107639,1.3315935446327603,0.656644737502024,0.46270582017546436,0.46142646925103686
early_crossattn,cold_target,42,8,1.860661203954734,4.859575878970592e-05,43.56,1.6541234144124692,1.2861272932382972,0.6584560072106876,0.47989819781507354,0.4636025178929325
early_crossattn,cold_target,42,9,1.7908397316932678,3.770367912702849e-05,43.58,1.6704856041661642,1.2924726705683816,0.6546471821429442,0.47138117003755653,0.45374389688931976
early_crossattn,cold_target,42,10,1.7984469871894986,2.7406422709001955e-05,43.59,1.657583255812488,1.2874716524306422,0.6544250723289862,0.47679353763453874,0.4518254862738101
early_crossattn,cold_target,42,11,1.7815605308495315,1.820210987071254e-05,43.58,1.6736514069282689,1.2936967986851744,0.6542889405075281,0.4651064590758815,0.4495634352423711
early_crossattn,cold_target,42,12,1.7783648839183883,1.053599080397068e-05,43.55,1.6861185721672833,1.2985062849933702,0.6513513590971164,0.45772701594541176,0.43972474275920004
early_crossattn,cold_target,42,13,1.7590796725422728,4.778906987643633e-06,43.56,1.6988006274064056,1.303380461494803,0.6482962744302884,0.4503940663729185,0.4304571850455084
early_crossattn,cold_target,42,14,1.709641699697457,1.209352071232861e-06,43.58,1.696173148433287,1.3023721236395098,0.6502651704585349,0.45558269225818293,0.4355833651398866
early_crossattn,cold_target,42,15,1.7141463698125352,0.0,43.58,1.6889221807117323,1.299585388003317,0.6502064188303267,0.45499071789800066,0.43555803935925885
