variant,split,seed,best_val_mse
early_concat,cold_drug,123,1.3832921095944128
early_concat,cold_drug,2024,1.4148857727283553
early_concat,cold_drug,42,1.497400990387019
early_concat,cold_drug,456,1.2661638317184079
early_concat,cold_drug,789,1.3797604104373713
early_concat,cold_target,123,1.233840346157565
early_concat,cold_target,2024,1.1914620536559366
early_concat,cold_target,42,1.2460508094162854
early_concat,cold_target,456,1.3544953496357626
early_concat,cold_target,789,1.1243129028255858
early_concat,random,123,0.8703656547793984
early_concat,random,2024,0.7960536021798968
early_concat,random,42,0.8046854705614167
early_concat,random,456,0.840746043045609
early_concat,random,789,0.807798241851809
early_crossattn,cold_drug,123,1.338257783976169
early_crossattn,cold_drug,2024,1.309073441317728
early_crossattn,cold_drug,42,1.6099678865558893
early_crossattn,cold_drug,456,1.3581286885344286
early_crossattn,cold_drug,789,1.3887658740238953
early_crossattn,cold_target,123,1.1941029521593478
early_crossattn,cold_target,2024,1.2465379924889284
early_crossattn,cold_target,42,1.0258456495955148
early_crossattn,cold_target,456,1.4315877788794433
early_crossattn,cold_target,789,1.1348878870180457
early_crossattn,random,123,0.8182216129273825
early_crossattn,random,2024,0.7597979776468469
early_crossattn,random,42,0.7500111781656028
early_crossattn,random,456,0.8311140309318703
early_crossattn,random,789,0.7594903553448586
late_concat,cold_drug,123,1.208906745923879
late_concat,cold_drug,2024,1.3005791446753996
late_concat,cold_drug,42,1.4346493816428898
late_concat,cold_drug,456,1.1855381411270833
late_concat,cold_drug,789,1.398389963448457
late_concat,cold_target,123,1.183900476607315
late_concat,cold_target,2024,1.1691083093077683
late_concat,cold_target,42,0.917123233437388
late_concat,cold_target,456,1.4903384550948175
late_concat,cold_target,789,1.1062713287773365
late_concat,random,123,0.7498122395182395
late_concat,random,2024,0.7567546820276493
late_concat,random,42,0.7128210920060241
late_concat,random,456,0.8006183753069551
late_concat,random,789,0.7427174308361033
late_crossattn,cold_drug,123,1.3531795100709805
late_crossattn,cold_drug,2024,1.2384352705806407
late_crossattn,cold_drug,42,1.5540854094137557
late_crossattn,cold_drug,456,1.2182276935958034
late_crossattn,cold_drug,789,1.3509040315708065
late_crossattn,cold_target,123,1.2139154234753013
late_crossattn,cold_target,2024,1.1503311193951682
late_crossattn,cold_target,42,1.0210755720471287
late_crossattn,cold_target,456,1.334784893617155
late_crossattn,cold_target,789,1.0685826636832372
late_crossattn,random,123,0.7536067114010532
late_crossattn,random,2024,0.7438437549791982
late_crossattn,random,42,0.7226174068244725
late_crossattn,random,456,0.7943716870432971
late_crossattn,random,789,0.7201394718649226
