variant,split,seed,epoch,train_loss,lr,time_s,val_mse,val_rmse,val_ci,val_pearson,val_spearman
late_concat,random,42,1,19.2526525731248,9.992335366001951e-05,24.38,1.8869393836279287,1.3736591220633774,0.5726437317715406,0.22160826846375412,0.2168753891190298
late_concat,random,42,2,2.1725921429297776,9.811009413687273e-05,19.58,1.8106023428160105,1.3455862450307712,0.5882050797624249,0.28251259643539006,0.261190235181378
late_concat,random,42,3,2.0100272044467467,9.396835110163948e-05,19.53,1.6470944785279649,1.283391786839843,0.5946330101902254,0.3014441515521762,0.2789626557462799
late_concat,random,42,4,1.9512920313411288,8.769858103942666e-05,19.53,1.6277256369259072,1.2758235132360225,0.5995406723423349,0.318854002815098,0.2928243525177084
late_concat,random,42,5,1.8857057877784766,7.960423495103467e-05,19.53,1.691902757618835,1.3007316239789186,0.6053693513915621,0.34105790582437023,0.30901313128052943
late_concat,random,42,6,1.8462025111424174,7.007707160863138e-05,19.54,1.6819592591825294,1.2969037200897102,0.6085663427363648,0.33876285864606503,0.31854158863875554
late_concat,random,42,7,1.824149331320887,5.957819679797203e-05,19.56,1.6937628213768525,1.3014464343094774,0.615612712394762,0.36577441997138965,0.33830531637472916
late_concat,random,42,8,1.7872605652048967,4.8615746230089157e-05,19.63,1.5678008384762325,1.2521185401056214,0.6168259750380805,0.3696870713975824,0.34149963086402724
late_concat,random,42,9,1.7933050756869109,3.772029224863178e-05,19.64,1.59051090612766,1.2611545924777263,0.6175787292328402,0.369076252032197,0.3430729073560973
late_concat,random,42,10,1.753506328460675,2.7419164625193038e-05,19.58,1.566648415619526,1.2516582663089497,0.6204229592981378,0.3735136837939818,0.3502929662069825
late_concat,random,42,11,1.7390048089234724,1.8210928292089143e-05,19.65,1.5740638736746004,1.254617022710357,0.6236051907567689,0.38513762066593743,0.36087165677234934
late_concat,random,42,12,1.7406066849035917,1.054125326642767e-05,19.58,1.575558671918559,1.2552126002867239,0.6260169561572341,0.39262300658329063,0.3672464176678862
late_concat,random,42,13,1.7296363662406442,4.781344638548007e-06,19.55,1.5602782652524085,1.2491109899654267,0.627032436325851,0.39352391398195313,0.3693945313184714
late_concat,random,42,14,1.7103501080314893,1.2099765931978702e-06,19.56,1.5685869317686254,1.2524324060677388,0.6272361227550213,0.3948353524401436,0.37026754503891857
late_concat,random,42,15,1.6704294338894352,0.0,19.55,1.5716328466776668,1.2536478160463036,0.62736748574195,0.39506663905474154,0.37059905040592933
